
Logfile for Bit Unsticker Recovery. 2022 
Two matches found for address 1286 
Two matches found for address 1287 
Two matches found for address 1288 
Two matches found for address 1290 
Two matches found for address 1291 
Two matches found for address 1292 
Two matches found for address 1293 
Two matches found for address 1294 
Two matches found for address 1295 
Two matches found for address 1296 
Two matches found for address 1297 
Two matches found for address 1298 
Two matches found for address 1299 
Two matches found for address 1300 
Two matches found for address 1301 
Two matches found for address 1302 
Two matches found for address 1303 
Two matches found for address 1304 
Two matches found for address 1305 
Two matches found for address 1306 
Two matches found for address 1307 
Two matches found for address 1308 
Two matches found for address 1309 
Two matches found for address 1310 
Two matches found for address 1311 
Two matches found for address 1312 
Two matches found for address 1313 
Two matches found for address 1314 
Two matches found for address 1315 
Two matches found for address 1316 
Two matches found for address 1317 
Two matches found for address 1318 
Two matches found for address 1319 
Two matches found for address 1320 
Two matches found for address 1321 
Two matches found for address 1322 
Two matches found for address 1323 
Two matches found for address 1324 
Two matches found for address 1325 
Two matches found for address 1326 
Two matches found for address 1327 
Two matches found for address 1328 
Two matches found for address 1329 
Two matches found for address 1330 
Two matches found for address 1331 
Two matches found for address 1332 
Two matches found for address 1333 
Two matches found for address 1334 
Two matches found for address 1335 
Two matches found for address 1337 
Two matches found for address 1338 
Two matches found for address 1339 
Two matches found for address 1340 
Two matches found for address 1341 
Two matches found for address 1342 
Two matches found for address 1343 
Two matches found for address 1344 
Two matches found for address 1345 
Two matches found for address 1346 
Two matches found for address 1347 
Two matches found for address 1348 
Two matches found for address 1349 
Two matches found for address 1350 
Two matches found for address 1351 
Two matches found for address 1352 
Two matches found for address 1353 
Two matches found for address 1354 
Two matches found for address 1355 
Two matches found for address 1356 
Two matches found for address 1357 
Two matches found for address 1358 
Two matches found for address 1359 
Two matches found for address 1360 
Two matches found for address 1361 
Two matches found for address 1362 
Two matches found for address 1363 
Two matches found for address 1364 
Two matches found for address 1365 
Two matches found for address 1366 
Two matches found for address 1367 
Two matches found for address 1368 
Two matches found for address 1369 
Two matches found for address 1370 
Two matches found for address 1371 
Two matches found for address 1372 
Two matches found for address 1373 
Two matches found for address 1374 
Two matches found for address 1375 
Two matches found for address 1376 
Two matches found for address 1377 
Two matches found for address 1378 
Two matches found for address 1379 
Two matches found for address 1380 
Two matches found for address 1381 
Two matches found for address 1382 
Two matches found for address 1383 
Two matches found for address 1384 
Two matches found for address 1385 
Two matches found for address 1386 
Two matches found for address 1387 
Two matches found for address 1388 
Two matches found for address 1389 
Two matches found for address 1390 
Two matches found for address 1391 
Two matches found for address 1392 
Two matches found for address 1393 
Two matches found for address 1395 
Two matches found for address 1396 
Two matches found for address 1397 
Two matches found for address 1398 
Two matches found for address 1399 
Two matches found for address 1400 
Two matches found for address 1401 
Two matches found for address 1402 
Two matches found for address 1403 
Two matches found for address 1404 
Two matches found for address 1405 
Two matches found for address 1406 
Two matches found for address 1407 
Two matches found for address 1408 
Two matches found for address 1409 
Two matches found for address 1410 
Two matches found for address 1411 
Two matches found for address 1412 
Two matches found for address 1413 
Two matches found for address 1414 
Two matches found for address 1416 
Two matches found for address 1417 
Two matches found for address 1418 
Two matches found for address 1419 
Two matches found for address 1420 
Two matches found for address 1421 
Two matches found for address 1422 
Two matches found for address 1423 
Two matches found for address 1424 
Two matches found for address 1425 
Two matches found for address 1426 
Two matches found for address 1427 
Two matches found for address 1428 
Two matches found for address 1429 
Two matches found for address 1430 
Two matches found for address 1431 
Two matches found for address 1432 
Two matches found for address 1433 
Two matches found for address 1434 
Two matches found for address 1435 
Two matches found for address 1436 
Two matches found for address 1437 
Two matches found for address 1438 
Two matches found for address 1439 
Two matches found for address 1440 
Two matches found for address 1441 
Two matches found for address 1442 
Two matches found for address 1443 
Two matches found for address 1444 
Two matches found for address 1445 
Two matches found for address 1446 
Two matches found for address 1447 
Two matches found for address 1448 
Two matches found for address 1449 
Two matches found for address 1450 
Two matches found for address 1451 
Two matches found for address 1452 
Two matches found for address 1453 
Two matches found for address 1454 
Two matches found for address 1455 
Two matches found for address 1456 
Two matches found for address 1458 
Two matches found for address 1459 
Two matches found for address 1460 
Two matches found for address 1461 
Two matches found for address 1462 
Two matches found for address 1463 
Two matches found for address 1464 
Two matches found for address 1465 
Two matches found for address 1466 
Two matches found for address 1467 
Two matches found for address 1468 
Two matches found for address 1469 
Two matches found for address 1470 
Two matches found for address 1471 
Two matches found for address 1472 
Two matches found for address 1473 
Two matches found for address 1475 
Two matches found for address 1476 
Two matches found for address 1477 
Two matches found for address 1478 
Two matches found for address 1479 
Two matches found for address 1480 
Two matches found for address 1481 
Two matches found for address 1482 
Two matches found for address 1483 
Two matches found for address 1484 
Two matches found for address 1485 
Two matches found for address 1486 
Two matches found for address 1487 
Two matches found for address 1488 
Two matches found for address 1490 
Two matches found for address 1491 
Two matches found for address 1492 
Two matches found for address 1493 
Two matches found for address 1494 
Two matches found for address 1495 
Two matches found for address 1496 
Two matches found for address 1497 
Two matches found for address 1498 
Two matches found for address 1499 
Two matches found for address 1500 
Two matches found for address 1501 
Two matches found for address 1502 
Two matches found for address 1503 
Two matches found for address 1504 
Two matches found for address 1505 
Two matches found for address 1506 
Two matches found for address 1507 
Two matches found for address 1508 
Two matches found for address 1509 
Two matches found for address 1510 
Two matches found for address 1511 
Two matches found for address 1512 
Two matches found for address 1513 
Two matches found for address 1515 
Two matches found for address 1516 
Two matches found for address 1517 
Two matches found for address 1518 
Two matches found for address 1519 
Two matches found for address 1520 
Two matches found for address 1521 
Two matches found for address 1522 
Two matches found for address 1523 
Two matches found for address 1524 
Two matches found for address 1525 
Two matches found for address 1526 
Two matches found for address 1527 
Two matches found for address 1528 
Two matches found for address 1529 
Two matches found for address 1530 
Two matches found for address 1531 
Two matches found for address 1532 
Two matches found for address 1533 
Two matches found for address 1534 
Two matches found for address 1535 
Two matches found for address 1536 
Two matches found for address 1537 
Two matches found for address 1538 
Two matches found for address 1539 
Two matches found for address 1540 
Two matches found for address 1541 
Two matches found for address 1542 
Two matches found for address 1543 
Two matches found for address 1544 
Two matches found for address 1545 
Two matches found for address 1546 
Two matches found for address 1547 
Two matches found for address 1548 
Two matches found for address 1549 
Two matches found for address 1550 
Two matches found for address 1551 
Two matches found for address 1552 
Two matches found for address 1553 
Two matches found for address 1554 
Two matches found for address 1555 
Two matches found for address 1556 
Two matches found for address 1557 
Two matches found for address 1558 
Two matches found for address 1559 
Two matches found for address 1560 
Two matches found for address 1561 
Two matches found for address 1562 
Two matches found for address 1563 
Two matches found for address 1564 
Two matches found for address 1565 
Two matches found for address 1566 
Two matches found for address 1567 
Two matches found for address 1568 
Two matches found for address 1569 
Two matches found for address 1570 
Two matches found for address 1571 
Two matches found for address 1572 
Two matches found for address 1574 
Two matches found for address 1575 
Two matches found for address 1577 
Two matches found for address 1578 
Two matches found for address 1579 
Two matches found for address 1580 
Two matches found for address 1582 
Two matches found for address 1583 
Two matches found for address 1584 
Two matches found for address 1585 
Two matches found for address 1586 
Two matches found for address 1587 
Two matches found for address 1588 
Two matches found for address 1589 
Two matches found for address 1590 
Two matches found for address 1591 
Two matches found for address 1592 
Two matches found for address 1593 
Two matches found for address 1594 
Two matches found for address 1596 
Two matches found for address 1597 
Two matches found for address 1598 
Two matches found for address 1599 
Two matches found for address 1600 
Two matches found for address 1601 
Two matches found for address 1602 
Two matches found for address 1603 
Two matches found for address 1604 
Two matches found for address 1605 
Two matches found for address 1606 
Two matches found for address 1607 
Two matches found for address 1608 
Two matches found for address 1609 
Two matches found for address 1610 
Two matches found for address 1611 
Two matches found for address 1612 
Two matches found for address 1613 
Two matches found for address 1615 
Two matches found for address 1616 
Two matches found for address 1617 
Two matches found for address 1618 
Two matches found for address 1619 
Two matches found for address 1620 
Two matches found for address 1621 
Two matches found for address 1622 
Two matches found for address 1623 
Two matches found for address 1624 
Two matches found for address 1625 
Two matches found for address 1626 
Two matches found for address 1627 
Two matches found for address 1628 
Two matches found for address 1629 
Two matches found for address 1630 
Two matches found for address 1631 
Two matches found for address 1632 
Two matches found for address 1633 
Two matches found for address 1634 
Two matches found for address 1635 
Two matches found for address 1636 
Two matches found for address 1637 
Two matches found for address 1639 
Two matches found for address 1640 
Two matches found for address 1641 
Two matches found for address 1642 
Two matches found for address 1643 
Two matches found for address 1644 
Two matches found for address 1645 
Two matches found for address 1646 
Two matches found for address 1647 
Two matches found for address 1648 
Two matches found for address 1649 
Two matches found for address 1650 
Two matches found for address 1651 
Two matches found for address 1652 
Two matches found for address 1653 
Two matches found for address 1654 
Two matches found for address 1655 
Two matches found for address 1656 
Two matches found for address 1657 
Two matches found for address 1658 
Two matches found for address 1659 
Two matches found for address 1660 
Two matches found for address 1661 
Two matches found for address 1662 
Two matches found for address 1663 
Two matches found for address 1664 
Two matches found for address 1666 
Two matches found for address 1667 
Two matches found for address 1668 
Two matches found for address 1669 
Two matches found for address 1670 
Two matches found for address 1671 
Two matches found for address 1672 
Two matches found for address 1673 
Two matches found for address 1674 
Two matches found for address 1675 
Two matches found for address 1676 
Two matches found for address 1677 
Two matches found for address 1678 
Two matches found for address 1679 
Two matches found for address 1680 
Two matches found for address 1681 
Two matches found for address 1682 
Two matches found for address 1683 
Two matches found for address 1684 
Two matches found for address 1685 
Two matches found for address 1686 
Two matches found for address 1687 
Two matches found for address 1688 
Two matches found for address 1689 
Two matches found for address 1691 
Two matches found for address 1692 
Two matches found for address 1693 
Two matches found for address 1694 
Two matches found for address 1695 
Two matches found for address 1696 
Two matches found for address 1697 
Two matches found for address 1698 
Two matches found for address 1699 
Two matches found for address 1701 
Two matches found for address 1702 
Two matches found for address 1703 
Two matches found for address 1704 
Two matches found for address 1705 
Two matches found for address 1706 
Two matches found for address 1707 
Two matches found for address 1708 
Two matches found for address 1709 
Two matches found for address 1710 
Two matches found for address 1711 
Two matches found for address 1712 
Two matches found for address 1713 
Two matches found for address 1714 
Two matches found for address 1715 
Two matches found for address 1716 
Two matches found for address 1717 
Two matches found for address 1718 
Two matches found for address 1719 
Two matches found for address 1720 
Two matches found for address 1721 
Two matches found for address 1722 
Two matches found for address 1724 
Two matches found for address 1726 
Two matches found for address 1727 
Two matches found for address 1728 
Two matches found for address 1729 
Two matches found for address 1730 
Two matches found for address 1731 
Two matches found for address 1732 
Two matches found for address 1733 
Two matches found for address 1734 
Two matches found for address 1735 
Two matches found for address 1736 
Two matches found for address 1737 
Two matches found for address 1738 
Two matches found for address 1739 
Two matches found for address 1740 
Two matches found for address 1741 
Two matches found for address 1742 
Two matches found for address 1743 
Two matches found for address 1744 
Two matches found for address 1745 
Two matches found for address 1746 
Two matches found for address 1748 
Two matches found for address 1749 
Two matches found for address 1750 
Two matches found for address 1751 
Two matches found for address 1752 
Two matches found for address 1754 
Two matches found for address 1755 
Two matches found for address 1756 
Two matches found for address 1757 
Two matches found for address 1758 
Two matches found for address 1759 
Two matches found for address 1760 
Two matches found for address 1761 
Two matches found for address 1762 
Two matches found for address 1763 
Two matches found for address 1764 
Two matches found for address 1765 
Two matches found for address 1766 
Two matches found for address 1767 
Two matches found for address 1768 
Two matches found for address 1769 
Two matches found for address 1770 
Two matches found for address 1771 
Two matches found for address 1772 
Two matches found for address 1773 
Two matches found for address 1774 
Two matches found for address 1775 
Two matches found for address 1776 
Two matches found for address 1777 
Two matches found for address 1778 
Two matches found for address 1779 
Two matches found for address 1780 
Two matches found for address 1781 
Two matches found for address 1782 
Two matches found for address 1783 
Two matches found for address 1784 
Two matches found for address 1785 
Two matches found for address 1786 
Two matches found for address 1787 
Two matches found for address 1788 
Two matches found for address 1789 
Two matches found for address 1790 
Two matches found for address 1791 
Two matches found for address 1792 
Two matches found for address 1793 
Two matches found for address 1794 
Two matches found for address 1795 
Two matches found for address 1796 
Two matches found for address 1797 
Two matches found for address 1798 
Two matches found for address 1800 
Two matches found for address 1801 
Two matches found for address 1802 
Two matches found for address 1803 
Two matches found for address 1804 
Two matches found for address 1805 
Two matches found for address 1806 
Two matches found for address 1807 
Two matches found for address 1808 
Two matches found for address 1809 
Two matches found for address 1810 
Two matches found for address 1811 
Two matches found for address 1812 
Two matches found for address 1813 
Two matches found for address 1814 
Two matches found for address 1815 
Two matches found for address 1816 
Two matches found for address 1817 
Two matches found for address 1818 
Two matches found for address 1819 
Two matches found for address 1820 
Two matches found for address 1821 
Two matches found for address 1822 
Two matches found for address 1823 
Two matches found for address 1824 
Two matches found for address 1825 
Two matches found for address 1826 
Two matches found for address 1827 
Two matches found for address 1828 
Two matches found for address 1829 
Two matches found for address 1830 
Two matches found for address 1831 
Two matches found for address 1832 
Two matches found for address 1833 
Two matches found for address 1834 
Two matches found for address 1835 
Two matches found for address 1836 
Two matches found for address 1837 
Two matches found for address 1838 
Two matches found for address 1839 
Two matches found for address 1840 
Two matches found for address 1841 
Two matches found for address 1842 
Two matches found for address 1843 
Two matches found for address 1844 
Two matches found for address 1845 
Two matches found for address 1846 
Two matches found for address 1847 
Two matches found for address 1848 
Two matches found for address 1849 
Two matches found for address 1850 
Two matches found for address 1851 
Two matches found for address 1852 
Two matches found for address 1853 
Two matches found for address 1854 
Two matches found for address 1855 
Two matches found for address 1856 
Two matches found for address 1857 
Two matches found for address 1858 
Two matches found for address 1859 
Two matches found for address 1861 
Two matches found for address 1862 
Two matches found for address 1863 
Two matches found for address 1864 
Two matches found for address 1865 
Two matches found for address 1866 
Two matches found for address 1867 
Two matches found for address 1868 
Two matches found for address 1870 
Two matches found for address 1871 
Two matches found for address 1872 
Two matches found for address 1873 
Two matches found for address 1874 
Two matches found for address 1876 
Two matches found for address 1877 
Two matches found for address 1878 
Two matches found for address 1879 
Two matches found for address 1880 
Two matches found for address 1881 
Two matches found for address 1882 
Two matches found for address 1883 
Two matches found for address 1884 
Two matches found for address 1885 
Two matches found for address 1886 
Two matches found for address 1887 
Two matches found for address 1888 
Two matches found for address 1889 
Two matches found for address 1890 
Two matches found for address 1891 
Two matches found for address 1892 
Two matches found for address 1893 
Two matches found for address 1894 
Two matches found for address 1895 
Two matches found for address 1896 
Two matches found for address 1897 
Two matches found for address 1898 
Two matches found for address 1899 
Two matches found for address 1900 
Two matches found for address 1901 
Two matches found for address 1902 
Two matches found for address 1903 
Two matches found for address 1904 
Two matches found for address 1905 
Two matches found for address 1906 
Two matches found for address 1907 
Two matches found for address 1908 
Two matches found for address 1909 
Two matches found for address 1910 
Two matches found for address 1911 
Two matches found for address 1912 
Two matches found for address 1913 
Two matches found for address 1914 
Two matches found for address 1915 
Two matches found for address 1916 
Two matches found for address 1918 
Two matches found for address 1919 
Two matches found for address 1920 
Two matches found for address 1921 
Two matches found for address 1922 
Two matches found for address 1923 
Two matches found for address 1924 
Two matches found for address 1925 
Two matches found for address 1926 
Two matches found for address 1927 
Two matches found for address 1928 
Two matches found for address 1929 
Two matches found for address 1930 
Two matches found for address 1931 
Two matches found for address 1932 
Two matches found for address 1933 
Two matches found for address 1934 
Two matches found for address 1935 
Two matches found for address 1936 
Two matches found for address 1937 
Two matches found for address 1938 
Two matches found for address 1939 
Two matches found for address 1940 
Two matches found for address 1941 
Two matches found for address 1942 
Two matches found for address 1943 
Two matches found for address 1944 
Two matches found for address 1945 
Two matches found for address 1946 
Two matches found for address 1947 
Two matches found for address 1948 
Two matches found for address 1949 
Two matches found for address 1950 
Two matches found for address 1951 
Two matches found for address 1952 
Two matches found for address 1953 
Two matches found for address 1954 
Two matches found for address 1955 
Two matches found for address 1956 
Two matches found for address 1957 
Two matches found for address 1958 
Two matches found for address 1959 
Two matches found for address 1960 
Two matches found for address 1961 
Two matches found for address 1962 
Two matches found for address 1963 
Two matches found for address 1964 
Two matches found for address 1965 
Two matches found for address 1966 
Two matches found for address 1967 
Two matches found for address 1968 
Two matches found for address 1969 
Two matches found for address 1970 
Two matches found for address 1971 
Two matches found for address 1973 
Two matches found for address 1974 
Two matches found for address 1975 
Two matches found for address 1976 
Two matches found for address 1977 
Two matches found for address 1978 
Two matches found for address 1979 
Two matches found for address 1980 
Two matches found for address 1982 
Two matches found for address 1983 
Two matches found for address 1984 
Two matches found for address 1985 
Two matches found for address 1986 
Two matches found for address 1987 
Two matches found for address 1988 
Two matches found for address 1989 
Two matches found for address 1990 
Two matches found for address 1991 
Two matches found for address 1992 
Two matches found for address 1993 
Two matches found for address 1994 
Two matches found for address 1995 
Two matches found for address 1996 
Two matches found for address 1997 
Two matches found for address 1998 
Two matches found for address 1999 
Two matches found for address 2000 
Two matches found for address 2001 
Two matches found for address 2002 
Two matches found for address 2003 
Two matches found for address 2004 
Two matches found for address 2005 
Two matches found for address 2006 
Two matches found for address 2007 
Two matches found for address 2008 
Two matches found for address 2009 
Two matches found for address 2010 
Two matches found for address 2011 
Two matches found for address 2012 
Two matches found for address 2013 
Two matches found for address 2014 
Two matches found for address 2016 
Two matches found for address 2017 
Two matches found for address 2018 
Two matches found for address 2019 
Two matches found for address 2020 
Two matches found for address 2021 
Two matches found for address 2022 
Two matches found for address 2023 
Two matches found for address 2025 
Two matches found for address 2026 
Two matches found for address 2027 
Two matches found for address 2028 
Two matches found for address 2029 
Two matches found for address 2030 
Two matches found for address 2031 
Two matches found for address 2032 
Two matches found for address 2033 
Two matches found for address 2034 
Two matches found for address 2035 
Two matches found for address 2036 
Two matches found for address 2037 
Two matches found for address 2038 
Two matches found for address 2039 
Two matches found for address 2040 
Two matches found for address 2041 
Two matches found for address 2042 
Two matches found for address 2043 
Two matches found for address 2044 
Two matches found for address 2045 
Two matches found for address 2046 
Two matches found for address 2047 
Done writing new data file. 2048 total bytes processed. 
Total Corrected 22 bytes.
Total Uncorrected 2026 bytes.
Found 2026 bytes already matched rules. Nothing done with these. 
Found 0 bytes that didn't have a match with rules. Uncorrected. 
Found 1972 double possibilities with rules. Uncorrected. 
